date,target,model,actual,predicted,error
2025-12-15,hhs_care_load,Naive persistence,2470.0,2141.0,329.0
2025-12-16,hhs_care_load,Naive persistence,2468.0,2141.0,327.0
2025-12-17,hhs_care_load,Naive persistence,2481.0,2141.0,340.0
2025-12-18,hhs_care_load,Naive persistence,2472.0,2141.0,331.0
2025-12-19,hhs_care_load,Naive persistence,2476.0,2141.0,335.0
2025-12-20,hhs_care_load,Naive persistence,2480.0,2141.0,339.0
2025-12-21,hhs_care_load,Naive persistence,2484.0,2141.0,343.0
2025-09-23,hhs_care_load,7-day moving average,2145.0,2113.1428571428573,31.857142857142662
2025-09-24,hhs_care_load,7-day moving average,2138.0,2113.1428571428573,24.857142857142662
2025-09-25,hhs_care_load,7-day moving average,2132.0,2113.1428571428573,18.857142857142662
2025-09-26,hhs_care_load,7-day moving average,2136.6666666666665,2113.1428571428573,23.523809523809177
2025-09-27,hhs_care_load,7-day moving average,2141.3333333333335,2113.1428571428573,28.190476190476147
2025-09-28,hhs_care_load,7-day moving average,2146.0,2113.1428571428573,32.85714285714266
2025-09-29,hhs_care_load,7-day moving average,2148.0,2113.1428571428573,34.85714285714266
2025-09-30,hhs_care_load,7-day moving average,2159.0,2113.1428571428573,45.85714285714266
2025-10-01,hhs_care_load,7-day moving average,2163.0,2113.1428571428573,49.85714285714266
2025-10-02,hhs_care_load,7-day moving average,2164.0,2113.1428571428573,50.85714285714266
2025-10-03,hhs_care_load,7-day moving average,2169.3333333333335,2113.1428571428573,56.19047619047615
2025-10-04,hhs_care_load,7-day moving average,2174.6666666666665,2113.1428571428573,61.52380952380918
2025-10-05,hhs_care_load,7-day moving average,2180.0,2113.1428571428573,66.85714285714266
2025-10-06,hhs_care_load,7-day moving average,2187.0,2113.1428571428573,73.85714285714266
2025-10-07,hhs_care_load,7-day moving average,2189.0,2113.1428571428573,75.85714285714266
2025-10-08,hhs_care_load,7-day moving average,2192.0,2113.1428571428573,78.85714285714266
2025-10-09,hhs_care_load,7-day moving average,2192.0,2113.1428571428573,78.85714285714266
2025-10-10,hhs_care_load,7-day moving average,2199.75,2113.1428571428573,86.60714285714266
2025-10-11,hhs_care_load,7-day moving average,2207.5,2113.1428571428573,94.35714285714266
2025-10-12,hhs_care_load,7-day moving average,2215.25,2113.1428571428573,102.10714285714266
2025-10-13,hhs_care_load,7-day moving average,2223.0,2113.1428571428573,109.85714285714266
2025-10-14,hhs_care_load,7-day moving average,2235.0,2113.1428571428573,121.85714285714266
2025-10-15,hhs_care_load,7-day moving average,2225.0,2113.1428571428573,111.85714285714266
2025-10-16,hhs_care_load,7-day moving average,2233.0,2113.1428571428573,119.85714285714266
2025-10-17,hhs_care_load,7-day moving average,2234.3333333333335,2113.1428571428573,121.19047619047615
2025-10-18,hhs_care_load,7-day moving average,2235.6666666666665,2113.1428571428573,122.52380952380918
2025-10-19,hhs_care_load,7-day moving average,2237.0,2113.1428571428573,123.85714285714266
2025-10-20,hhs_care_load,7-day moving average,2243.0,2113.1428571428573,129.85714285714266
2025-10-21,hhs_care_load,7-day moving average,2251.0,2113.1428571428573,137.85714285714266
2025-10-22,hhs_care_load,7-day moving average,2261.0,2113.1428571428573,147.85714285714266
2025-10-23,hhs_care_load,7-day moving average,2266.0,2113.1428571428573,152.85714285714266
2025-10-24,hhs_care_load,7-day moving average,2269.3333333333335,2113.1428571428573,156.19047619047615
2025-10-25,hhs_care_load,7-day moving average,2272.6666666666665,2113.1428571428573,159.52380952380918
2025-10-26,hhs_care_load,7-day moving average,2276.0,2113.1428571428573,162.85714285714266
2025-10-27,hhs_care_load,7-day moving average,2282.0,2113.1428571428573,168.85714285714266
2025-10-28,hhs_care_load,7-day moving average,2286.0,2113.1428571428573,172.85714285714266
2025-10-29,hhs_care_load,7-day moving average,2280.0,2113.1428571428573,166.85714285714266
2025-10-30,hhs_care_load,7-day moving average,2287.0,2113.1428571428573,173.85714285714266
2025-10-31,hhs_care_load,7-day moving average,2283.6666666666665,2113.1428571428573,170.52380952380918
2025-11-01,hhs_care_load,7-day moving average,2280.3333333333335,2113.1428571428573,167.19047619047615
2025-11-02,hhs_care_load,7-day moving average,2277.0,2113.1428571428573,163.85714285714266
2025-11-03,hhs_care_load,7-day moving average,2269.0,2113.1428571428573,155.85714285714266
2025-11-04,hhs_care_load,7-day moving average,2270.0,2113.1428571428573,156.85714285714266
2025-11-05,hhs_care_load,7-day moving average,2272.0,2113.1428571428573,158.85714285714266
2025-11-06,hhs_care_load,7-day moving average,2264.0,2113.1428571428573,150.85714285714266
2025-11-07,hhs_care_load,7-day moving average,2274.0,2113.1428571428573,160.85714285714266
2025-11-08,hhs_care_load,7-day moving average,2284.0,2113.1428571428573,170.85714285714266
