target,model,MAE,RMSE,MAPE,Forecast Accuracy (%),Residual Std
hhs_care_load,Random Forest Regressor,51.1441776787171,65.18896447924372,2.213421320905131,97.78657867909487,62.38947971032777
hhs_care_load,Gradient Boosting Regressor,122.8207028299227,151.24717760640652,5.173341851246295,94.82665814875371,101.07585048168193
hhs_care_load,SARIMA (statsmodels),126.50776994556217,162.6636304350312,5.308440173101217,94.69155982689878,112.99526058720322
hhs_care_load,Naive persistence,165.17962962962963,194.21947581010156,6.980619233731746,93.01938076626826,103.321273006484
hhs_care_load,Exponential smoothing,181.7202323397269,208.75563229394277,7.698151724876191,92.3018482751238,103.321273006484
hhs_care_load,7-day moving average,192.6738095238093,218.3572028792654,8.174135490479282,91.82586450952071,103.321273006484
hhs_care_load,Seasonal naive,192.98333333333332,218.90406567520805,8.189409827969776,91.81059017203023,103.90564389847913
hhs_care_load,Trend regression,259.4802420336643,300.37961581960064,11.313335804211865,88.68666419578814,300.6814497049759
hhs_care_load,ETS (statsmodels),396.83766453322465,455.1747488742668,16.821643584979924,83.17835641502008,225.02587511486158
hhs_care_load,Feature regression,731.0649496658535,900.5844590523288,30.7806043377934,69.21939566220661,528.8707139342047
hhs_discharges,Feature regression,3.229610440454881,3.9553832929670385,47.29385763122876,52.70614236877124,3.9763922944620442
hhs_discharges,Random Forest Regressor,3.233648577077243,4.121432846607442,40.85712637959194,59.14287362040806,3.9552780927793654
hhs_discharges,Exponential smoothing,3.297032096514935,4.233138768032979,42.63314369798706,57.36685630201294,4.0899529772119925
hhs_discharges,Naive persistence,3.307407407407408,4.0701411993585745,47.44355258563473,52.55644741436527,4.0899529772119925
hhs_discharges,7-day moving average,3.3761904761904766,4.076320585867906,50.1235623446121,49.8764376553879,4.0899529772119925
hhs_discharges,Gradient Boosting Regressor,3.4771294469178278,4.203879636318092,51.89926719984511,48.10073280015489,4.227001976627406
hhs_discharges,Seasonal naive,3.4962962962962965,4.117637462381182,45.374779824277816,54.625220175722184,4.13127289468235
hhs_discharges,SARIMA (statsmodels),5.180437673205211,6.263570188266725,50.2731148578087,49.7268851421913,3.744667434177094
hhs_discharges,Trend regression,7.488237637440074,9.550695200421544,78.507348143494,21.492651856506,8.957512220024947
hhs_discharges,ETS (statsmodels),8.633585846792707,9.463956152725235,88.00471122314947,11.99528877685053,4.0050155126610685
