date,target,model,horizon_day,forecast,lower_95,upper_95
2025-12-22,hhs_care_load,Random Forest Regressor,1,2481.1348072232536,2358.851426991011,2603.418187455496
2025-12-23,hhs_care_load,Random Forest Regressor,2,2475.0160834920644,2302.081268714801,2647.950898269328
2025-12-24,hhs_care_load,Random Forest Regressor,3,2470.40084898657,2258.5998215030627,2682.2018764700774
2025-12-25,hhs_care_load,Random Forest Regressor,4,2465.7666238783454,2221.1998634138604,2710.3333843428304
2025-12-26,hhs_care_load,Random Forest Regressor,5,2466.373796259298,2192.9398455415503,2739.807746977046
2025-12-27,hhs_care_load,Random Forest Regressor,6,2466.979252132314,2167.447366540581,2766.511137724047
2025-12-28,hhs_care_load,Random Forest Regressor,7,2467.5053699100918,2143.9739563392263,2791.036783480957
2025-12-29,hhs_care_load,Random Forest Regressor,8,2466.788631814854,2120.9190022603275,2812.6582613693804
2025-12-30,hhs_care_load,Random Forest Regressor,9,2466.4208557301977,2099.57071503347,2833.270996426925
2025-12-31,hhs_care_load,Random Forest Regressor,10,2465.7249201746417,2079.030918656346,2852.4189216929376
2026-01-01,hhs_care_load,Random Forest Regressor,11,2498.7860683227905,2093.2179779960798,2904.354158649501
2026-01-02,hhs_care_load,Random Forest Regressor,12,2535.574666971757,2111.9726120047417,2959.176721938772
2026-01-03,hhs_care_load,Random Forest Regressor,13,2551.790733698208,2110.8917361337985,2992.6897312626174
2026-01-04,hhs_care_load,Random Forest Regressor,14,2552.1547349453735,2094.612222019717,3009.69724787103
2026-01-05,hhs_care_load,Random Forest Regressor,15,2552.270858074625,2078.6693629172005,3025.872353232049
2026-01-06,hhs_care_load,Random Forest Regressor,16,2552.270447522849,2063.1369265938793,3041.4039684518184
2026-01-07,hhs_care_load,Random Forest Regressor,17,2552.044587205389,2047.8572942502865,3056.231880160491
2026-01-08,hhs_care_load,Random Forest Regressor,18,2551.9081353535366,2033.1036910217467,3070.7125796853265
2026-01-09,hhs_care_load,Random Forest Regressor,19,2551.9357578368727,2018.9148609299687,3084.9566547437767
